index,value
436,0.00439453
437,0.1521
438,0.0541992
439,0.137939
440,0.0090332
441,0
442,0
443,0
444,0
445,0
446,0.0546875
447,0.626709
448,0.199463
449,0.548096
450,0.529541
451,0.464111
452,0.503174
453,0.000244141
454,0
455,0
456,0
457,0
458,0
459,0.00634766
460,0.0319824
461,0.000976562
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0.20752
478,0.332031
479,0.280518
480,0.167969
481,0.0559082
482,0
483,0.158936
484,0.355957
485,0.0373535
486,0
487,0
488,0
489,0.186035
490,0.124023
491,0.387695
492,0.768311
493,0.342041
494,0.44873
495,0.304443
496,0.25415
497,0.450928
498,0.135986
499,0.212646
500,0.132324
501,0.294922
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0.000976562
520,0
521,0
522,0.000244141
523,0.000976562
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0.0163574
537,0
538,0.366943
539,0.319336
540,0.747314
541,1.02368
542,0.734863
543,0.00292969
544,0
545,0
546,0
547,0
548,0.00439453
549,0
550,0
551,0
552,0.0898438
553,0.242676
554,0.0778809
555,0.183594
556,0.107422
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0.00292969
584,0
585,0
586,0
587,0.1604
588,0.330078
589,0.412354
590,0.341797
591,0.059082
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0.575439
600,0.687988
601,0.14917
602,0.092041
603,0.177979
604,0.0842285
605,0.327881
606,0.450439
607,0.279785
608,0.365479
609,0.149658
610,0.135742
611,0.228516
612,0.211914
613,0.1521
614,0.123047
615,0.139648
616,0
617,0
618,0
619,0.136475
620,0.441406
621,0.210693
622,0.304688
623,0.323975
624,0.553955
625,0
626,0
627,0
628,0
629,0
630,0
631,0.0146484
632,0.0771484
633,0.0368652
634,0.0244141
635,0.0205078
636,0.013916
637,0.0559082
638,0.17627
639,0.148193
640,0.445312
641,0.466797
642,0.459229
643,0.291016
644,0.267822
645,0.0998535
646,0.189697
647,0.251221
648,0.0258789
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0.206055
663,0.527588
664,0.219727
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0.288818
673,0.453369
674,0.103027
675,0.0620117
676,0.103027
677,0.0976562
678,0.179443
679,0.260498
680,0.233887
681,0.739746
682,0.655762
683,0.432129
684,0.382568
685,0.268311
686,0.585693
687,0.693359
688,0.515869
689,0.435791
690,0.432373
691,0.517334
692,0.624268
693,0.518066
694,0.482178
695,0.269775
696,0.17749
697,0.000732422
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0.00219727
706,0.0290527
707,0.00219727
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0.397217
734,0.661621
735,0.796143
736,0.77417
737,0.210449
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0.000976562
749,0
750,0
751,0
752,0
753,0
754,0.000244141
755,0
756,0
757,0.0356445
758,0.490723
759,0.405518
760,0.336914
761,0.100098
762,0
