index,value
583,-0.69303
584,-0.693147
585,-0.693147
586,-0.693147
587,-0.53857
588,-0.454568
589,-0.44872
590,-0.517036
591,-0.686283
592,-0.693147
593,-0.693147
594,-0.693147
595,-0.693147
596,-0.693147
597,-0.693147
598,-0.693147
599,-0.471841
600,-0.108775
601,-0.172201
602,-0.416414
603,-0.564166
604,-0.596078
605,-0.52221
606,-0.487501
607,-0.465676
608,-0.502296
609,-0.143405
610,-0.304064
611,-0.173328
612,-0.096779
613,-0.338406
614,-0.160394
615,-0.482207
616,-0.693147
617,-0.693147
618,-0.693147
619,-0.67087
620,-0.446834
621,-0.616928
622,-0.585746
623,-0.580896
624,0.117148
625,-0.693147
626,-0.693147
627,-0.693147
628,-0.693147
629,-0.693147
630,-0.693147
631,-0.691531
632,-0.678119
633,-0.678586
634,-0.679557
635,-0.67176
636,-0.686098
637,-0.577033
638,-0.298909
639,-0.584843
640,-0.511981
641,-0.512311
642,-0.431157
643,-0.592782
644,-0.604233
645,-0.575226
646,-0.550992
647,-0.533459
648,-0.684915
649,-0.693147
650,-0.693147
651,-0.693147
652,-0.693147
653,-0.693147
654,-0.693147
655,-0.693147
656,-0.693147
657,-0.693147
658,-0.693147
659,-0.693147
660,-0.693147
661,-0.693147
662,-0.659112
663,-0.4741
664,-0.649958
665,-0.693147
666,-0.693147
667,-0.693147
668,-0.693147
669,-0.693147
670,-0.693147
671,-0.693147
672,-0.495186
673,-0.540768
674,-0.664831
675,-0.681405
676,-0.673099
677,-0.674614
678,-0.588083
679,-0.587825
680,-0.539098
681,0.0351725
682,0.353166
683,0.588595
684,0.573396
685,0.770809
686,0.324535
687,0.256068
688,0.344468
689,0.361488
690,0.502464
691,0.362646
692,0.636858
693,1.12967
694,0.690587
695,0.779161
696,0.179416
697,-0.693124
698,-0.693147
699,-0.693147
700,-0.693147
701,-0.693147
702,-0.693147
703,-0.693147
704,-0.693147
705,-0.693026
706,-0.67853
707,-0.693123
708,-0.693147
709,-0.693147
710,-0.693147
711,-0.693147
712,-0.693147
713,-0.693147
714,-0.693147
715,-0.693147
716,-0.693147
717,-0.693147
718,-0.693147
719,-0.693147
720,-0.693147
721,-0.693147
722,-0.693147
723,-0.693147
724,-0.693147
725,-0.693147
726,-0.693147
727,-0.693147
728,-0.693147
729,-0.693147
730,-0.693147
731,-0.693147
732,-0.693147
733,-0.507907
734,0.199284
735,0.208801
736,0.255148
737,-0.614888
738,-0.693147
739,-0.693147
740,-0.693147
741,-0.693147
742,-0.693147
743,-0.693147
744,-0.693147
745,-0.693147
746,-0.693147
747,-0.693147
748,-0.693072
749,-0.693147
750,-0.693147
751,-0.693147
752,-0.693147
753,-0.693147
754,-0.693141
755,-0.693147
756,-0.693147
757,-0.691964
758,-0.349731
759,-0.547374
760,-0.4793
761,-0.461258
762,-0.693147
763,-0.693147
764,-0.69296
765,-0.693147
766,-0.693147
767,-0.693147
768,-0.693147
769,-0.693147
770,-0.575265
771,-0.457372
772,-0.649063
773,-0.615979
774,-0.480577
775,-0.53948
776,-0.0743552
777,0.228098
778,-0.615585
779,-0.693147
